root,memory,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,39,540000,196608,1941.520370
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,40,578000,196608,1813.877163
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,41,534000,196608,1963.335206
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,42,565000,196608,1855.612389
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,43,547000,196608,1916.674589
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,44,570000,196608,1839.335088
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,45,543000,196608,1930.793738
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,46,574000,196608,1826.517422
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,47,572000,196608,1832.903846
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,48,535000,196608,1959.665421
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,49,570000,196608,1839.335088
