root,memory,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,37,472000,131072,2221.230932
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,38,511000,131072,2051.704501
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,39,498000,131072,2105.263052
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,40,504000,131072,2080.200397
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,41,509000,131072,2059.766208
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,42,506000,131072,2071.978261
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,43,501000,131072,2092.656687
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,44,593000,131072,1767.994941
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,45,476000,131072,2202.565126
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,46,508000,131072,2063.820866
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,47,515000,131072,2035.768932
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,48,508000,196608,2063.820866
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,49,515000,131072,2035.768932
