root,memory,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,36,512000,131072,2047.697266
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,37,521000,131072,2012.324376
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,38,490000,131072,2139.634694
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,39,518000,131072,2023.978764
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,40,507000,131072,2067.891519
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,41,519000,131072,2020.078998
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,42,497000,196608,2109.498994
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,43,523000,131072,2004.629063
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,44,487000,131072,2152.815195
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,45,512000,131072,2047.697266
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,46,528000,196608,1985.645833
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,47,484000,131072,2166.159091
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,48,517000,196608,2027.893617
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,49,518000,131072,2023.978764
