root,memory,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,39,557000,196608,1882.263914
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,40,580000,196608,1807.622414
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,41,578000,262144,1813.877163
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,42,557000,196608,1882.263914
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,43,587000,262144,1786.066440
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,44,552000,196608,1899.313406
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,45,596000,196608,1759.095638
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,46,587000,196608,1786.066440
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,47,588000,196608,1783.028912
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,48,576000,196608,1820.175347
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,49,582000,196608,1801.410653
